평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000002,2060147043,김천시립 율곡도서관,gyeongbuk,김천시,87955,4,2934,13279,1148780
2022,LIBTYPE000002,2060147009,김천시립도서관,gyeongbuk,김천시,223305,8,5160,148551,2503946
2022,LIBTYPE000002,2060141216,김포시고촌도서관,gyeonggi,김포시,94902,2,7770,254386,535826
2022,LIBTYPE000002,2060141256,김포시마산도서관,gyeonggi,김포시,62440,5,13010,337242,1121444
2022,LIBTYPE000002,2060141132,김포시양곡도서관,gyeonggi,김포시,103591,2,6330,122518,921309
2022,LIBTYPE000002,2060141223,김포시장기도서관,gyeonggi,김포시,148609,12,22006,515321,2199982
2022,LIBTYPE000002,2060141047,김포시중봉도서관,gyeonggi,김포시,381372,3,8809,219133,1094682
2022,LIBTYPE000002,2060141104,김포시통진도서관,gyeonggi,김포시,173395,3,46159,134239,1137032
2022,LIBTYPE000002,2060141232,김포시풍무도서관,gyeonggi,김포시,115445,3,15910,390614,1325607
2022,LIBTYPE000002,2060848006,김해기적의도서관,gyeongnam,김해시,59164,3,57075,198602,912282
2022,LIBTYPE000002,2060148039,김해율하도서관,gyeongnam,김해시,65824,4,106058,228970,1017172
2022,LIBTYPE000002,20601110052,까망돌도서관,seoul,동작구,27115,8,9223,139369,1054683
2022,LIBTYPE000002,2030122005,꿈꾸는마을도서관 도토리,daegu,북구,19436,0,611,1512,82080
2022,LIBTYPE000002,2060111035,꿈마을 도서관,seoul,구로구,19301,2,1549,24378,234039
2022,LIBTYPE000002,2060123018,꿈벗도서관,incheon,중구,41223,4,3468,13451,324169
2022,LIBTYPE000002,2060148013,꿈이랑도서관,gyeongnam,통영시,27170,3,1251,18385,572116
2022,LIBTYPE000002,2030821001,꿈키어린이도서관,busan,동래구,8752,1,4956,4935,45631
2022,LIBTYPE000002,2060146009,나주시립도서관,jeonnam,나주시,93263,1,2359,9543,403740
2022,LIBTYPE000002,2060124015,남구 청소년도서관,gwangju,남구,53492,2,5439,102976,741375
2022,LIBTYPE000002,2060121002,남구도서관,busan,남구,277851,11,23478,361431,1842510
2022,LIBTYPE000002,2060123034,남동논현도서관,incheon,남동구,46235,5,10470,187534,1186843
2022,LIBTYPE000002,2060142039,남면도서관,gangwon,홍천군,17665,0.5,6555,13659,120764
2022,LIBTYPE000002,2060131014,남목도서관,ulsan,동구,22709,2,2767,30317,373328
2022,LIBTYPE000002,2060848010,남부어린이도서관,gyeongnam,진주시,34517,2,501,100569,832500
2022,LIBTYPE000002,2060141217,남사도서관,gyeonggi,용인시,76588,2,11257,171558,1150877
